,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
32,RTrightbound,tetragram,0.001569407982455983,-1541.611877136176,-1543.356697138665,1.7448200024889502,0.7351317862602131,orange
33,RTrightbound,psg,0.0011689649755877874,-1541.389339055333,-1543.356697138665,1.9673580833318738,0.6621288037833173,orange
34,RTrightbound,rnn,0.11643656012273164,-1542.697824822133,-1543.356697138665,0.6588723165318697,0.6331208560827641,darkgrey
35,RTrightbound,s_GPT2,7.0665097553527e-08,-1539.313467928524,-1543.356697138665,4.0432292101409075,1.179753936860022,tomato
36,RTrightbound,s_GPT2_medium,1.5595847741291093e-06,-1540.2377610305186,-1543.356697138665,3.118936108146272,1.350601384741569,tomato
37,RTrightbound,s_GPT2_large,9.220072581869885e-06,-1540.3971781290902,-1543.356697138665,2.9595190095747057,1.1397010528919589,tomato
38,RTrightbound,s_GPT2_xl,4.738056117802176e-06,-1540.4368544755498,-1543.356697138665,2.919842663115105,1.2242392935701132,tomato
39,RTrightbound,s_GPTNeo_125M,8.861147089433998e-08,-1539.7211875281496,-1543.356697138665,3.635509610515328,1.4548767621445393,tomato
40,RTrightbound,s_GPTNeo,1.22828404223391e-06,-1540.7513854669623,-1543.356697138665,2.605311671702566,1.6816978109966214,tomato
41,RTrightbound,s_GPTNeo_large,1.133649284799065e-05,-1540.7988553907521,-1543.356697138665,2.5578417479127893,1.3751165602676478,tomato
42,RTrightbound,cloze_p_smoothed,0.033988028079642525,-1542.6035936692044,-1543.356697138665,0.7531034694604841,0.8204836001094674,yellow
43,RTrightbound,cloze_s,0.00010198116927922078,-1540.9007452425951,-1543.356697138665,2.4559518960697915,0.6565269555050872,tomato
44,RTrightbound,rating_mean,0.0007884720280102835,-1541.35648444538,-1543.356697138665,2.0002126932849933,0.6644082644298464,tomato
45,RTgopast,bigram,0.0026236437955318554,-1683.7077292919828,-1685.408448986612,1.7007196946292424,0.40175534356135123,orange
46,RTgopast,trigram,0.011115347503770526,-1684.0026844661643,-1685.408448986612,1.4057645204477467,0.6483142705860093,yellow
47,RTgopast,tetragram,0.003446618082424965,-1683.7086809805946,-1685.408448986612,1.6997680060173934,0.6167023331183613,orange
48,RTgopast,psg,0.002723925472782834,-1683.6637743123229,-1685.408448986612,1.744674674289172,0.5333529999041147,orange
49,RTgopast,rnn,0.032216477989159054,-1684.222780552585,-1685.408448986612,1.185668434027093,0.5257717374069671,yellow
50,RTgopast,s_GPT2,0.008947503662132688,-1684.2540949092079,-1685.408448986612,1.1543540774041503,0.9373435336786855,orange
51,RTgopast,s_GPT2_medium,0.028633913642455155,-1684.8045586964,-1685.408448986612,0.6038902902121208,0.9536778150476766,yellow
52,RTgopast,s_GPT2_large,0.05138466350388823,-1684.7430234962899,-1685.408448986612,0.6654254903221499,0.8409640082927521,darkgrey
53,RTgopast,s_GPT2_xl,0.042721126203776355,-1684.7624062399252,-1685.408448986612,0.6460427466868168,0.9128397809097529,yellow
54,RTgopast,s_GPTNeo_125M,0.0022929165842659224,-1684.2050306396904,-1685.408448986612,1.2034183469215805,1.0754229850268309,orange
55,RTgopast,s_GPTNeo,0.011827545511984337,-1684.9273142968036,-1685.408448986612,0.4811346898084139,1.2481434350761904,yellow
56,RTgopast,s_GPTNeo_large,0.0683104859940985,-1684.9911483814424,-1685.408448986612,0.4173006051696575,0.9676322984152739,darkgrey
57,RTgopast,cloze_p_smoothed,0.9941292082873793,-1686.0662807395897,-1685.408448986612,-0.6578317529776996,0.3350878620299454,darkgrey
58,RTgopast,cloze_s,0.38029928727067736,-1685.0100505657745,-1685.408448986612,0.39839842083756594,0.4697723894960677,darkgrey
59,RTgopast,rating_mean,0.01384559513514554,-1684.3862263349802,-1685.408448986612,1.0222226516318642,0.7166517232927829,yellow
60,self_paced_reading_time,bigram,0.004973368077168678,-1332.3502221939023,-1333.5491129335846,1.1988907396823834,0.8126878268361818,orange
61,self_paced_reading_time,trigram,0.008623759316220779,-1332.3411143207206,-1333.5491129335846,1.207998612864003,0.6790412028885511,orange
62,self_paced_reading_time,tetragram,0.009236946187703137,-1332.2986560659785,-1333.5491129335846,1.2504568676060899,0.6263530131792067,orange
63,self_paced_reading_time,psg,0.0986761610446032,-1333.00436717939,-1333.5491129335846,0.5447457541945369,0.5249561332479641,darkgrey
64,self_paced_reading_time,rnn,0.0632736707397413,-1332.5528083795712,-1333.5491129335846,0.9963045540134772,0.5061843868684562,darkgrey
65,self_paced_reading_time,s_GPT2,0.08286731679031453,-1333.543075636709,-1333.5491129335846,0.006037296875547327,1.054996700746272,darkgrey
