,rating_mean,cloze_p_smoothed,cloze_s,s_GPTNeo_2.7B,s_GPTNeo,s_GPTNeo_125M,s_GPT2_xl,s_GPT2_large,s_GPT2_medium,s_GPT2,rnn,psg,bigram,trigram,tetragram,rnn_pos,psg_pos,bigram_pos,trigram_pos,tetragram_pos,RTfirstfix,RTfirstpass,RTgopast,RTrightbound,self_paced_reading_time,ELAN,LAN,N400,P600,EPNP,PNP
bigram,-0.6127730583498622,-0.4793993704417071,0.6008836198168892,0.7329156541957476,0.7242592030213798,0.7599122417791981,0.7497823380179907,0.7507583770139662,0.7260568877487313,0.7466530466860868,0.9158116051355827,0.9301815300290798,1.0,0.953258004480806,0.9382270452856811,0.1400055408022331,0.11451452016300886,0.17770177197861367,0.16379391452304443,0.14478565382652495,0.5777448666429195,0.5861823554614702,0.5028783581849248,0.5900675299366493,0.1442748034687013,0.14509067390455585,-0.20050278339944436,-0.26314131393665846,0.08378293797275657,-0.049472826973745394,0.11340580682919382
trigram,-0.6495180102015335,-0.5245612323060095,0.6351202327648893,0.7553803874354997,0.7475090165187009,0.7772593488363393,0.7715805010702039,0.7713951702193389,0.7446654753135349,0.7627541830514923,0.8819552865137125,0.8966336407783558,0.953258004480806,1.0,0.9897314322803156,0.1616370567156122,0.13534181533324555,0.19232737562880903,0.18689403122074397,0.1704245734406236,0.543167684645266,0.5558023624659705,0.47569807995288504,0.5609541006868417,0.148509267498256,0.1282728717108457,-0.1887796351343963,-0.2676988890931705,0.07561723949578607,-0.04798620482590592,0.10662730415086241
tetragram,-0.6572478742083478,-0.5315364103419494,0.6400986089328373,0.7598191660668132,0.7514723326085323,0.7784053613115762,0.775414881913475,0.7749271091854919,0.7483757625866398,0.7647504042871094,0.866418959211814,0.8806000260604678,0.9382270452856811,0.9897314322803156,1.0,0.17497649016413838,0.1485257942604944,0.20497275802669018,0.19962644495139967,0.1834925134425263,0.5329069526126228,0.5474999392909565,0.4701983173584511,0.5532033276150062,0.15078262143190352,0.12353903665088804,-0.18328400596097824,-0.26819101091857234,0.06660487156122928,-0.04680997204238681,0.10363294703256702
rnn_pos,-0.08683978063263714,-0.06843510169842698,0.05368227213458311,0.09921455318490284,0.09127091944621162,0.08281713756298129,0.10255426611333641,0.10043808250911793,0.08643552400754434,0.07359391641751797,0.14064323687725366,0.15885721559885926,0.1400055408022331,0.1616370567156122,0.17497649016413838,1.0,0.9448766907107814,0.9211788774865104,0.956003607114506,0.9605901110638229,-0.01838688623001848,-0.02199710311017651,0.022074731703371066,-0.003101263874141827,0.07542356917585094,0.026425654875981,0.09253334710513691,0.06525354240791459,-0.01412706420132199,0.04578379474987935,0.013576329185795773
psg_pos,-0.07344923348006552,-0.05648644437620625,0.038261431949642044,0.06837003461889961,0.0628768229803028,0.06025511683261333,0.07386504910182322,0.0733739388511969,0.058586823581505326,0.051051118525570566,0.12661261885589256,0.15999514356167605,0.11451452016300886,0.13534181533324555,0.1485257942604944,0.9448766907107814,1.0,0.9046421636421899,0.9295316040639225,0.9359714223441933,-0.036909597942689956,-0.0383585581439294,0.008414397889911255,-0.020367161235678215,0.07272422787879991,0.004821440333165659,0.09654219020967421,0.06237961526003333,-0.0127957899116092,0.05576093057984927,0.013278056761381671
bigram_pos,-0.09232036876766203,-0.0905895340463071,0.08700417996149637,0.1157180646114307,0.10912923431799147,0.0999681141062446,0.12134380206369665,0.11943192942348371,0.1049581864202512,0.09290592872508521,0.15277123173975754,0.17701858358999856,0.17770177197861367,0.19232737562880903,0.20497275802669018,0.9211788774865104,0.9046421636421899,1.0,0.9374214913359298,0.9081846238603601,-0.00034334097013326515,-0.00559220030110942,0.024709952410151937,0.010760764855745135,0.08393418514621714,0.019541387416676034,0.09364311393730697,0.08041803048368179,0.014347361009609344,0.07503736727685946,0.04786996572659832
trigram_pos,-0.09846760253380478,-0.08060950592156976,0.07094921434088523,0.1149466493829877,0.10870276126679064,0.10353360319984249,0.11882883961050397,0.11586100003521321,0.1017171985093565,0.091183388759582,0.15946798478684007,0.17187849062569868,0.16379391452304443,0.18689403122074397,0.19962644495139967,0.956003607114506,0.9295316040639225,0.9374214913359298,1.0,0.9616275952731427,-0.003983519930989684,-0.009506826626073937,0.0330247474842413,0.009568058814560255,0.09525827187897808,0.0377682807714052,0.09028327866079613,0.07375196550899871,0.00462617487068287,0.06828873177319428,0.03783276624226325
tetragram_pos,-0.08855640827481241,-0.076392336574646,0.0592551487029307,0.1102267986868466,0.10164887184852046,0.09862705334369584,0.11165158635004957,0.1094558289422876,0.09566606169356072,0.0846176485978262,0.14843597654554622,0.16875950141753585,0.14478565382652495,0.1704245734406236,0.1834925134425263,0.9605901110638229,0.9359714223441933,0.9081846238603601,0.9616275952731427,1.0,-0.015038909002462228,-0.017401341016983308,0.0253334310048689,0.0021969038914448455,0.08801187170007406,0.023386690956997417,0.0920677172354094,0.07024745449660039,-0.010851768391338844,0.057489730617856644,0.01809524893428654
RTfirstfix,-0.3476265105083986,-0.3263659482501908,0.42594442835082236,0.4641566846384362,0.4648859339405238,0.4906363168978798,0.4773879250664697,0.4789819222145952,0.45840442696016037,0.49608724605326,0.5987454939729699,0.5929517267721333,0.5777448666429195,0.543167684645266,0.5329069526126228,-0.01838688623001848,-0.036909597942689956,-0.00034334097013326515,-0.003983519930989684,-0.015038909002462228,1.0,0.9662135485813768,0.8745221102996785,0.9564153594811049,0.09480520290818063,0.1385781110482219,-0.21222828819218675,-0.26476370677820577,0.017683386229844927,-0.03837639743989311,0.125122021397462
RTfirstpass,-0.37123478782329616,-0.34500884895632183,0.4562367131099624,0.5147623942029932,0.5134191439965987,0.5421897445648385,0.5263792570343871,0.5283434476380966,0.5115678827444303,0.5480196404280894,0.6064295838436725,0.6065854366333884,0.5861823554614702,0.5558023624659705,0.5474999392909565,-0.02199710311017651,-0.0383585581439294,-0.00559220030110942,-0.009506826626073937,-0.017401341016983308,0.9662135485813768,1.0,0.8905026118799058,0.9872220532130436,0.11752860252043552,0.11168436117194047,-0.20824854604704948,-0.25646286655901707,0.011915268766484884,-0.05922287917553819,0.12168017635926363
RTgopast,-0.3169253484935449,-0.24220325626068545,0.3449658446550181,0.39881931910297236,0.4007634862237855,0.430099148292446,0.41161101951930196,0.4129868337660513,0.39658180617172983,0.42945587129797,0.5176969576377801,0.5134626093563774,0.5028783581849248,0.47569807995288504,0.4701983173584511,0.022074731703371066,0.008414397889911255,0.024709952410151937,0.0330247474842413,0.0253334310048689,0.8745221102996785,0.8905026118799058,1.0,0.9329199824054476,0.14972098850960014,0.07874005314585068,-0.19105558330907146,-0.23958024474427306,-0.02995189609325214,-0.06300395816528624,0.0769346385588206
RTrightbound,-0.3736662452510926,-0.341000187897471,0.4515464544527979,0.5132252722813203,0.5122978040271108,0.5430003542123282,0.5260399133132387,0.5284333618113052,0.5110036555117817,0.5468732513940229,0.6030868916658222,0.6056827493545526,0.5900675299366493,0.5609541006868417,0.5532033276150062,-0.003101263874141827,-0.020367161235678215,0.010760764855745135,0.009568058814560255,0.0021969038914448455,0.9564153594811049,0.9872220532130436,0.9329199824054476,1.0,0.13996758095294562,0.11079476426389892,-0.20519276506332843,-0.25336234766073573,0.0034130378311645693,-0.05986472892467979,0.11566237271707966
self_paced_reading_time,-0.15066455134077583,-0.12233037990521463,0.12456904484118761,0.1660784751350014,0.15732558326580962,0.17153749079196098,0.16889839743445118,0.16174185627156074,0.16585687074280317,0.15431795351583386,0.1349722134229302,0.13293969080142293,0.1442748034687013,0.148509267498256,0.15078262143190352,0.07542356917585094,0.07272422787879991,0.08393418514621714,0.09525827187897808,0.08801187170007406,0.09480520290818063,0.11752860252043552,0.14972098850960014,0.13996758095294562,1.0,0.056500752730725516,-0.023607381891991876,0.019969001057611516,-0.0003277318831286389,-0.02681110943967211,0.030975677126605743
ELAN,-0.11275885627683317,-0.07483841202906737,0.11071035473715474,0.0916353566665094,0.09303365676246973,0.08417190293080497,0.09913603292517313,0.09893192278182683,0.08854998409380616,0.07348058970379295,0.13912172058782596,0.12372422646252998,0.14509067390455585,0.1282728717108457,0.12353903665088804,0.026425654875981,0.004821440333165659,0.019541387416676034,0.0377682807714052,0.023386690956997417,0.1385781110482219,0.11168436117194047,0.07874005314585068,0.11079476426389892,0.056500752730725516,1.0,0.1179930698234522,-0.00153755252053182,-0.02616927215196217,0.08432410846971927,0.028484771142376995
LAN,0.21224978002967035,0.12873051447743072,-0.17017809216357419,-0.18471360233464792,-0.18253313895779685,-0.19261008536110483,-0.19468331158213975,-0.1913809912663383,-0.1783897457461812,-0.19081711948603866,-0.20014286067023837,-0.20231888607962328,-0.20050278339944436,-0.1887796351343963,-0.18328400596097824,0.09253334710513691,0.09654219020967421,0.09364311393730697,0.09028327866079613,0.0920677172354094,-0.21222828819218675,-0.20824854604704948,-0.19105558330907146,-0.20519276506332843,-0.023607381891991876,0.1179930698234522,1.0,0.49668295470439855,0.016187733326676546,0.42124022682352263,0.12831599086745832
N400,0.29829976097984146,0.2329913193890944,-0.25877556213735853,-0.2745336178879566,-0.2808385587557503,-0.2835185692525822,-0.2848883273194908,-0.2821610356286647,-0.27352270862560757,-0.28247182696996703,-0.27159316925182597,-0.26471418125121665,-0.26314131393665846,-0.2676988890931705,-0.26819101091857234,0.06525354240791459,0.06237961526003333,0.08041803048368179,0.07375196550899871,0.07024745449660039,-0.26476370677820577,-0.25646286655901707,-0.23958024474427306,-0.25336234766073573,0.019969001057611516,-0.00153755252053182,0.49668295470439855,1.0,0.2391474602904133,0.23089532014039982,0.13056055527957364
P600,0.06600595586554048,-0.01894145475854972,-0.018089313299748066,-0.0271067740914823,-0.024431176504463775,-0.004498722086788524,-0.011213947464843168,-0.014059702641909973,-0.020629823301232808,0.004909603549534996,0.09359135409000949,0.08552044529946323,0.08378293797275657,0.07561723949578607,0.06660487156122928,-0.01412706420132199,-0.0127957899116092,0.014347361009609344,0.00462617487068287,-0.010851768391338844,0.017683386229844927,0.011915268766484884,-0.02995189609325214,0.0034130378311645693,-0.0003277318831286389,-0.02616927215196217,0.016187733326676546,0.2391474602904133,1.0,0.22342160495825283,0.5566705881595004
EPNP,0.08978673926397958,0.015737947171140687,-0.0675640742238462,-0.1257363058512136,-0.12663572773002774,-0.12199826341008134,-0.11995660142575076,-0.11606878748878463,-0.10777727792266825,-0.11609608727841048,-0.04090196670498811,-0.05146437366815891,-0.049472826973745394,-0.04798620482590592,-0.04680997204238681,0.04578379474987935,0.05576093057984927,0.07503736727685946,0.06828873177319428,0.057489730617856644,-0.03837639743989311,-0.05922287917553819,-0.06300395816528624,-0.05986472892467979,-0.02681110943967211,0.08432410846971927,0.42124022682352263,0.23089532014039982,0.22342160495825283,1.0,0.6603899878157301
PNP,-0.02574188480182286,-0.09463613776005876,0.07583986155550106,0.035728978882156585,0.038079737384543524,0.04716435382915453,0.04868053647994771,0.04917139918127938,0.04683293612944512,0.0536181411313608,0.12659034710135955,0.11319927139914665,0.11340580682919382,0.10662730415086241,0.10363294703256702,0.013576329185795773,0.013278056761381671,0.04786996572659832,0.03783276624226325,0.01809524893428654,0.125122021397462,0.12168017635926363,0.0769346385588206,0.11566237271707966,0.030975677126605743,0.028484771142376995,0.12831599086745832,0.13056055527957364,0.5566705881595004,0.6603899878157301,1.0
