,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
21,P600,s_GPT2_medium,0.00012016615835290493,-354.38757582174946,-357.02749751415274,2.639921692403277,1.3708755449314032,tomato
22,P600,s_GPT2_large,4.753342527403191e-05,-354.21609273313214,-357.02749751415274,2.811404781020599,1.509590276021669,tomato
23,P600,s_GPT2_xl,0.0001331078528734744,-354.518506655599,-357.02749751415274,2.508990858553716,1.5429539283475266,tomato
24,P600,s_GPTNeo_125M,0.00011206546630901476,-354.78677104513207,-357.02749751415274,2.2407264690206716,1.6857772322016242,tomato
25,P600,s_GPTNeo,1.5475040400260455e-05,-354.19881102178704,-357.02749751415274,2.828686492365705,1.510142589050924,tomato
26,P600,s_GPTNeo_large,5.323785913634741e-06,-353.82280448378026,-357.02749751415274,3.204693030372482,1.7544536169128884,tomato
27,P600,cloze_p_smoothed,0.21935672103056006,-356.92382266388285,-357.02749751415274,0.10367485026989698,0.9936633301574335,darkgrey
28,P600,cloze_s,0.0014025130728538345,-355.8202766049353,-357.02749751415274,1.2072209092174262,1.448201039759589,orange
29,P600,rating_mean,8.256624287146828e-07,-353.8487160918511,-357.02749751415274,3.178781422301654,1.5920335712316118,tomato
30,LAN,bigram,0.910790667773803,-443.7080786941645,-443.83426990877945,0.12619121461494842,0.07305897582405507,darkgrey
31,LAN,trigram,0.840516443065699,-443.6662627582924,-443.83426990877945,0.1680071504870284,0.12106872326326594,darkgrey
32,LAN,tetragram,0.6748245387435837,-443.57517361907696,-443.83426990877945,0.2590962897024838,0.10187151704794939,darkgrey
33,LAN,psg,0.6097610324306394,-443.53543256831756,-443.83426990877945,0.2988373404618869,0.11731122779575304,darkgrey
34,LAN,rnn,0.8334610878982254,-443.6566319165863,-443.83426990877945,0.1776379921931266,0.17229451892997596,darkgrey
35,LAN,s_GPT2,0.07045678108003572,-442.96113932393575,-443.83426990877945,0.8731305848436932,0.39677608940778186,darkgrey
36,LAN,s_GPT2_medium,0.09016244488137597,-443.1235476213953,-443.83426990877945,0.7107222873841579,0.4554429504232907,darkgrey
37,LAN,s_GPT2_large,0.04838427519393414,-442.7312763730944,-443.83426990877945,1.1029935356850729,0.4469855764543425,yellow
38,LAN,s_GPT2_xl,0.02913566085175709,-442.6354204869684,-443.83426990877945,1.198849421811019,0.4151138697381258,yellow
39,LAN,s_GPTNeo_125M,0.04536660381419947,-442.76246703713275,-443.83426990877945,1.071802871646696,0.3662538148583618,yellow
