,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
24,RTfirstpass,s_GPTNeo_125M,0.00553744440089822,-1399.1861743123832,-1400.7096061476254,1.5234318352422633,0.5266892882973138,orange
25,RTfirstpass,s_GPTNeo,0.00828367136358724,-1399.2572330226278,-1400.7096061476254,1.4523731249976208,0.3604090240340419,orange
26,RTfirstpass,s_GPTNeo_large,0.025324665319050435,-1399.4899235192283,-1400.7096061476254,1.219682628397095,0.6071859213871992,yellow
27,RTfirstpass,cloze_p_smoothed,0.001413077531967945,-1399.1735904109005,-1400.7096061476254,1.5360157367249485,0.8547114937030335,orange
28,RTfirstpass,cloze_s,8.316316635191577e-05,-1398.3997018113362,-1400.7096061476254,2.3099043362892644,1.025054183468821,tomato
29,RTfirstpass,rating_mean,7.192280602723185e-11,-1395.2338768496463,-1400.7096061476254,5.475729297979115,1.334618053732565,tomato
30,RTrightbound,bigram,0.00968185006354176,-1431.1266463091192,-1432.3618097579133,1.2351634487940828,0.8154462372115562,orange
31,RTrightbound,trigram,0.00013799445622590195,-1430.1267271208721,-1432.3618097579133,2.2350826370411596,0.9730034021578425,tomato
32,RTrightbound,tetragram,2.777832954650555e-05,-1429.5864150941138,-1432.3618097579133,2.7753946637994886,0.984199074006666,tomato
33,RTrightbound,psg,0.0002117013944302159,-1430.1636533892129,-1432.3618097579133,2.198156368700438,0.8735192122329802,tomato
34,RTrightbound,rnn,0.018157871516601892,-1431.1702716084735,-1432.3618097579133,1.1915381494397934,0.6472375493956156,yellow
35,RTrightbound,s_GPT2,0.009191282702928155,-1430.9004767612707,-1432.3618097579133,1.461332996642568,0.5891943302436746,orange
36,RTrightbound,s_GPT2_medium,0.0045715043965477,-1430.6835767036284,-1432.3618097579133,1.678233054284874,0.5779708666385295,orange
37,RTrightbound,s_GPT2_large,0.003359025426575236,-1430.6243873382657,-1432.3618097579133,1.7374224196476007,0.6127538270947946,orange
38,RTrightbound,s_GPT2_xl,0.0009285788258450784,-1430.4114431049668,-1432.3618097579133,1.9503666529465136,0.5506495087653323,tomato
39,RTrightbound,s_GPTNeo_125M,0.0013989322920531647,-1430.4410884637834,-1432.3618097579133,1.9207212941298621,0.5234332458318107,orange
40,RTrightbound,s_GPTNeo,0.0017193074741180465,-1430.5577921666795,-1432.3618097579133,1.8040175912337872,0.4043105912114437,orange
